date,open,high,low,close,volume
object,float64,float64,float64,float64,int64
2012-12-27 00:00,1.6117,1.6202,1.61049,1.61049,110131
2012-12-28 00:00,1.61049,1.61617,1.60663,1.61557,113073
2012-12-29 00:00,1.61559,1.61701,1.61477,1.61625,14699
2012-12-31 00:00,1.61733,1.62734,1.61333,1.626,86189
2013-01-01 00:00,1.62601,1.6273,1.62225,1.62357,17608
2013-01-02 00:00,1.62482,1.63823,1.62291,1.62537,128866
2013-01-03 00:00,1.62534,1.62558,1.61444,1.61496,130828
2013-01-04 00:00,1.61496,1.61557,1.60092,1.60354,155613
2013-01-05 00:00,1.60353,1.60812,1.60301,1.60678,23511
2013-01-07 00:00,1.60709,1.60958,1.602,1.60784,112002
2013-01-08 00:00,1.60785,1.6128,1.60283,1.60384,138630
2013-01-09 00:00,1.60384,1.60747,1.5992,1.60264,141865
2013-01-10 00:00,1.60264,1.61253,1.60035,1.61231,154878
2013-01-11 00:00,1.61231,1.61766,1.60885,1.61269,163699
2013-01-12 00:00,1.61269,1.614,1.6116,1.61323,22007
2013-01-14 00:00,1.61302,1.6154,1.6031,1.60759,121827
2013-01-15 00:00,1.60759,1.61003,1.60326,1.60879,155024
2013-01-16 00:00,1.60882,1.60884,1.59753,1.60074,175390
2013-01-17 00:00,1.60074,1.60386,1.59548,1.59891,148778
2013-01-18 00:00,1.59892,1.60095,1.58567,1.58751,179735
2013-01-19 00:00,1.58751,1.58828,1.58536,1.58638,20811
2013-01-21 00:00,1.58481,1.58929,1.58159,1.58227,85739
2013-01-22 00:00,1.58228,1.58831,1.5805,1.586,156600
2013-01-23 00:00,1.586,1.58918,1.58017,1.58471,166175
2013-01-24 00:00,1.58471,1.58522,1.57559,1.57876,160400
2013-01-25 00:00,1.57876,1.58267,1.57455,1.57977,177211
2013-01-26 00:00,1.57977,1.58101,1.57925,1.57998,19217
2013-01-28 00:00,1.57605,1.57848,1.56761,1.56846,134247
2013-01-29 00:00,1.56849,1.57729,1.56738,1.5749,151952
2013-01-30 00:00,1.57487,1.58013,1.57245,1.57915,147299
2013-01-31 00:00,1.57912,1.58586,1.57747,1.58544,154980
2013-02-01 00:00,1.58545,1.5878,1.57283,1.57426,179553
2013-02-02 00:00,1.57426,1.57432,1.5689,1.5691,23916
2013-02-04 00:00,1.56908,1.57503,1.5689,1.57357,114667
2013-02-05 00:00,1.57357,1.5804,1.56421,1.56498,173709
2013-02-06 00:00,1.56491,1.56776,1.563,1.56534,157578
2013-02-07 00:00,1.56536,1.57681,1.56449,1.57102,180599
2013-02-08 00:00,1.57099,1.58441,1.56898,1.58122,171138
2013-02-09 00:00,1.5812,1.58129,1.579,1.58005,13083
2013-02-11 00:00,1.57924,1.58096,1.56523,1.56669,111913
2013-02-12 00:00,1.56672,1.56803,1.55714,1.56525,158720
2013-02-13 00:00,1.56525,1.56883,1.55231,1.55426,161367
